06/22/26 11:45:30 -0600,TW,TX,SY,TX=01 CF 00 16 92 15 8E 03 00 00 00 00 1E 02,CM=CMD_FORWARD_COMMAND,DC=CMD_SLEEP_SERIAL_NUMBER
06/22/26 11:45:30 -0600,TW,RX,SY,RX=FF 01 00 16 92 15 8E 03 00 CE 01 03 20 03,ST=Device No Response,SD=No Status
06/22/26 11:45:30 -0600,TW,ER,SY,ER=Device No Response
06/22/26 11:45:30 -0600,TW,TX,SY,TX=01 CF 00 16 F8 13 8E 03 00 00 00 00 82 02,CM=CMD_FORWARD_COMMAND,DC=CMD_SLEEP_SERIAL_NUMBER
06/22/26 11:45:30 -0600,TW,RX,SY,RX=FF 01 00 16 F8 13 8E 03 00 32 02 03 E9 02,ST=Device No Response,SD=No Status
06/22/26 11:45:30 -0600,TW,ER,SY,ER=Device No Response
06/22/26 11:45:30 -0600,TW,TX,SY,TX=01 CF 00 16 F8 13 8E 03 00 00 00 00 82 02,CM=CMD_FORWARD_COMMAND,DC=CMD_SLEEP_SERIAL_NUMBER
06/22/26 11:45:30 -0600,TW,RX,SY,RX=FF 01 00 16 F8 13 8E 03 00 32 02 03 E9 02,ST=Device No Response,SD=No Status
06/22/26 11:45:30 -0600,TW,ER,SY,ER=Device No Response
06/22/26 11:45:30 -0600,TW,TX,SY,TX=01 CF 00 12 91 15 8E 03 00 00 00 00 19 02,CM=CMD_FORWARD_COMMAND,DC=CMD_UNLOCK_SERIAL_NUMBER
06/22/26 11:45:30 -0600,TW,RX,SY,RX=FF 01 FF 04 01 06 02 02 01 30 04 07 4A 02,ST=TW Checksum,SD=Status OK
06/22/26 11:45:30 -0600,TW,ER,SY,ER=TW Checksum
06/22/26 11:45:41 -0600,SY,OK,SY
06/22/26 12:00:00 -0600,TW,RD,SY,VV=31.3;-33.8,VA=0.00;0.00
06/22/26 12:00:00 -0600,CM,RD,SY,IN=CC,RS=-51,EC=2,RQ=0,RP=0
